xMonth,Miami,New Orleans,Ramey,Blaine,Buffalo,Detroit,Grand Forks,Havre,Houlton,Spokane,Swanton,Big Bend,Del Rio,El Centro,El Paso,Laredo,Rio Grande Valley,San Diego,Tucson,Yuma,Coastal Border,Northern Border,Southwest Border,Monthly Total,fiscalYear,xMonthN,xDate
October,401,559,221,246,168,213,68,73,51,112,153,891,8161,13761,6386,6962,8416,9046,32384,5403,1897,1084,91410,94391,2000,01,2000-01-01
November,342,626,102,184,106,145,30,82,37,103,111,1111,6812,11035,5203,6058,7371,7620,25767,5219,1593,798,76196,78587,2000,02,2000-02-01
December,493,333,115,177,61,191,20,80,32,65,125,1192,5118,8882,4651,4477,5808,5978,30182,4964,1455,751,71252,73458,2000,03,2000-03-01
January,375,596,142,228,80,190,33,122,25,92,97,1093,20354,21924,14914,13794,15443,15363,70632,12462,1640,867,185979,188486,2000,04,2000-04-01
February,562,684,28,204,65,183,33,78,42,100,87,1675,24706,31072,15049,14745,16814,20204,73506,13557,1799,792,211328,213919,2000,05,2000-05-01
March,614,1000,71,226,117,227,71,100,25,95,108,1597,24416,33301,16018,15549,17995,18279,76245,16663,2273,969,220063,223305,2000,06,2000-06-01
April,461,581,63,200,117,169,44,190,30,80,132,1272,18145,26534,12883,11174,15005,16751,65213,13073,1601,962,180050,182613,2000,07,2000-07-01
May,613,507,202,311,110,146,57,246,30,102,118,1154,13443,27460,10645,9707,12390,16615,62555,12327,1851,1120,166296,169267,2000,08,2000-08-01
June,483,375,124,229,109,138,57,129,25,118,140,885,7820,20071,7637,6436,7764,13186,44341,6953,1431,945,115093,117469,2000,09,2000-09-01
July,639,262,99,196,185,165,36,120,45,156,370,921,9373,15820,7533,6760,9842,10630,46849,6228,1395,1273,113956,116624,2000,10,2000-10-01
August,543,392,284,197,219,130,48,178,105,154,374,998,10132,15018,8106,6971,9073,9356,47905,6753,1736,1405,114312,117453,2000,11,2000-11-01
September,711,563,280,183,233,160,65,170,42,147,142,900,8698,13248,6671,6340,7322,8653,40767,5145,1980,1142,97744,100866,2000,12,2000-12-01
October,338,315,399,179,203,132,48,108,40,158,126,844,7648,13712,6095,5154,6634,8002,30009,4534,1584,994,82632,85210,2001,01,2001-01-01
November,590,306,285,168,85,139,23,67,37,114,120,874,5344,9979,5401,3652,5975,5556,25889,5039,1630,753,67709,70092,2001,02,2001-02-01
December,481,396,187,151,74,107,45,58,30,126,75,776,3756,8299,4683,2762,4280,5270,20907,4348,1424,666,55081,57171,2001,03,2001-03-01
January,483,358,418,141,87,195,44,77,54,99,101,846,11218,18672,10862,8228,10102,11558,43972,9632,1662,798,125090,127550,2001,04,2001-04-01
February,452,634,79,159,81,182,66,136,27,100,73,1046,16447,21412,12369,10656,12298,12085,54913,11003,1572,824,152229,154625,2001,05,2001-05-01
March,392,446,73,175,116,167,73,108,30,131,95,1427,16833,21815,15311,12604,12890,13510,64779,11411,1374,895,170580,172849,2001,06,2001-06-01
April,399,740,19,145,89,157,96,104,24,87,109,1249,11444,20699,12738,9928,11366,12597,52949,9843,1601,811,142813,145225,2001,07,2001-07-01
May,503,377,117,194,137,156,85,97,31,95,139,1123,9005,17203,11343,9216,11204,11270,44573,7990,1479,934,122927,125340,2001,08,2001-08-01
June,607,346,94,231,134,177,112,93,33,117,168,1058,7048,11385,8035,6586,8152,8467,33602,4798,1510,1065,89131,91706,2001,09,2001-09-01
July,735,402,107,192,165,195,100,169,153,132,543,1107,6069,11175,8607,6475,9191,7580,29550,3848,1680,1649,83602,86931,2001,10,2001-10-01
August,532,354,101,186,156,349,144,175,182,109,715,906,6038,10965,9945,7338,9426,8297,28028,3705,1393,2016,84648,88057,2001,11,2001-11-01
September,450,359,73,168,107,150,85,113,44,67,199,831,4025,7536,7468,4469,6326,5883,20504,2234,1249,933,59276,61458,2001,12,2001-12-01
October,391,352,3,127,50,135,85,114,27,62,82,913,2938,4069,4441,3431,4784,4530,11124,1582,1183,682,37812,39677,2002,01,2002-01-01
November,352,220,47,152,73,106,80,119,31,53,73,810,2367,3318,3483,2949,3744,3178,10523,2134,1058,687,32506,34251,2002,02,2002-02-01
December,251,299,11,172,36,98,87,92,24,60,76,876,2104,3720,3784,2608,3843,3183,9208,2175,934,645,31501,33080,2002,03,2002-03-01
January,445,357,37,106,74,99,93,89,43,98,71,826,8384,9670,8185,7711,8035,7716,25182,4084,1201,673,79793,81667,2002,04,2002-04-01
February,415,373,36,147,101,135,87,107,40,91,58,1040,10087,11118,9393,10628,8438,9172,32264,3584,1071,766,95724,97561,2002,05,2002-05-01
March,494,459,98,132,112,107,113,144,35,100,104,1184,12068,15673,11309,12270,10153,12832,46094,5409,1365,847,126992,129204,2002,06,2002-06-01
April,422,492,32,156,155,137,131,123,31,90,100,1312,8540,14274,11783,10709,10310,11712,47712,5569,1305,923,121921,124149,2002,07,2002-07-01
May,475,307,94,175,121,132,159,138,36,104,125,1163,5404,11415,9972,7861,9473,11222,36333,4581,1216,990,97424,99630,2002,08,2002-08-01
June,440,460,29,124,85,106,153,113,28,99,210,702,3787,8870,6931,6545,8109,9251,30898,3562,1289,918,78655,80862,2002,09,2002-09-01
July,532,427,90,148,64,173,138,139,42,135,293,748,3301,7897,8044,5830,7523,9340,30212,3766,1407,1132,76661,79200,2002,10,2002-10-01
August,564,424,222,157,142,133,108,163,59,121,387,940,4297,9557,9018,6376,8762,10115,30078,3414,1667,1270,82557,85494,2002,11,2002-11-01
